2026-04-18 22:32:35 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.setpoint((), {})
2026-04-18 22:32:35 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.setpoint -> 300.0
2026-04-18 22:32:35 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.temperature((), {})
2026-04-18 22:32:35 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.temperature -> 300.0
2026-04-18 22:32:35 | DEBUG    | cryosoft.vi.level_meter | level_meter.get_refresh_rate((), {})
2026-04-18 22:32:35 | DEBUG    | cryosoft.vi.level_meter | level_meter.get_refresh_rate -> 0
2026-04-18 22:32:35 | DEBUG    | cryosoft.vi.level_meter | level_meter.helium_level((), {})
2026-04-18 22:32:35 | DEBUG    | cryosoft.vi.level_meter | level_meter.helium_level -> 78.83556266832356
2026-04-18 22:32:35 | DEBUG    | cryosoft.vi.level_meter | level_meter.nitrogen_level((), {})
2026-04-18 22:32:35 | DEBUG    | cryosoft.vi.level_meter | level_meter.nitrogen_level -> 90.0
2026-04-18 22:32:38 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.get_field((), {})
2026-04-18 22:32:38 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.get_field -> 0.0
2026-04-18 22:32:38 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.magnet_current((), {})
2026-04-18 22:32:38 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.magnet_current -> 0.0
2026-04-18 22:32:38 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.magnet_status((), {})
2026-04-18 22:32:38 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.magnet_status -> 'HOLD'
2026-04-18 22:32:38 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.get_field((), {})
2026-04-18 22:32:38 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.get_field -> 0.0
2026-04-18 22:32:38 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.magnet_current((), {})
2026-04-18 22:32:38 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.magnet_current -> 0.0
2026-04-18 22:32:38 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.magnet_status((), {})
2026-04-18 22:32:38 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.magnet_status -> 'HOLD'
2026-04-18 22:32:38 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.heater_output((), {})
2026-04-18 22:32:38 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.heater_output -> 0.0
2026-04-18 22:32:38 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.setpoint((), {})
2026-04-18 22:32:38 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.setpoint -> 300.0
2026-04-18 22:32:38 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.temperature((), {})
2026-04-18 22:32:38 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.temperature -> 300.0
2026-04-18 22:32:38 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.heater_output((), {})
2026-04-18 22:32:38 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.heater_output -> 0.0
2026-04-18 22:32:38 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.setpoint((), {})
2026-04-18 22:32:38 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.setpoint -> 300.0
2026-04-18 22:32:38 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.temperature((), {})
2026-04-18 22:32:38 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.temperature -> 300.0
2026-04-18 22:32:38 | DEBUG    | cryosoft.vi.level_meter | level_meter.get_refresh_rate((), {})
2026-04-18 22:32:38 | DEBUG    | cryosoft.vi.level_meter | level_meter.get_refresh_rate -> 0
2026-04-18 22:32:38 | DEBUG    | cryosoft.vi.level_meter | level_meter.helium_level((), {})
2026-04-18 22:32:38 | DEBUG    | cryosoft.vi.level_meter | level_meter.helium_level -> 78.83506378149991
2026-04-18 22:32:38 | DEBUG    | cryosoft.vi.level_meter | level_meter.nitrogen_level((), {})
2026-04-18 22:32:38 | DEBUG    | cryosoft.vi.level_meter | level_meter.nitrogen_level -> 90.0
2026-04-18 22:32:38 | DEBUG    | cryosoft.core.orchestrator | Monitor: magnet_x: get_field=0, magnet_current=0, magnet_status=HOLD | magnet_y: get_field=0, magnet_current=0, magnet_status=HOLD | temperature_vti: heater_output=0, setpoint=300, temperature=300 | temperature_sample: heater_output=0, setpoint=300, temperature=300 | level_meter: get_refresh_rate=0, helium_level=78.84, nitrogen_level=90
2026-04-18 22:32:38 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.get_field((), {})
2026-04-18 22:32:38 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.get_field -> 0.0
2026-04-18 22:32:38 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.magnet_current((), {})
2026-04-18 22:32:38 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.magnet_current -> 0.0
2026-04-18 22:32:38 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.magnet_status((), {})
2026-04-18 22:32:38 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.magnet_status -> 'HOLD'
2026-04-18 22:32:38 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.get_field((), {})
2026-04-18 22:32:38 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.get_field -> 0.0
2026-04-18 22:32:38 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.magnet_current((), {})
2026-04-18 22:32:38 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.magnet_current -> 0.0
2026-04-18 22:32:38 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.magnet_status((), {})
2026-04-18 22:32:38 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.magnet_status -> 'HOLD'
2026-04-18 22:32:38 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.heater_output((), {})
2026-04-18 22:32:38 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.heater_output -> 0.0
2026-04-18 22:32:38 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.setpoint((), {})
2026-04-18 22:32:38 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.setpoint -> 300.0
2026-04-18 22:32:38 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.temperature((), {})
2026-04-18 22:32:38 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.temperature -> 300.0
2026-04-18 22:32:38 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.heater_output((), {})
2026-04-18 22:32:38 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.heater_output -> 0.0
2026-04-18 22:32:38 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.setpoint((), {})
2026-04-18 22:32:38 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.setpoint -> 300.0
2026-04-18 22:32:38 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.temperature((), {})
2026-04-18 22:32:38 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.temperature -> 300.0
2026-04-18 22:32:38 | DEBUG    | cryosoft.vi.level_meter | level_meter.get_refresh_rate((), {})
2026-04-18 22:32:38 | DEBUG    | cryosoft.vi.level_meter | level_meter.get_refresh_rate -> 0
2026-04-18 22:32:38 | DEBUG    | cryosoft.vi.level_meter | level_meter.helium_level((), {})
2026-04-18 22:32:38 | DEBUG    | cryosoft.vi.level_meter | level_meter.helium_level -> 78.83506280700371
2026-04-18 22:32:38 | DEBUG    | cryosoft.vi.level_meter | level_meter.nitrogen_level((), {})
2026-04-18 22:32:38 | DEBUG    | cryosoft.vi.level_meter | level_meter.nitrogen_level -> 90.0
2026-04-18 22:32:41 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.get_field((), {})
2026-04-18 22:32:41 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.get_field -> 0.0
2026-04-18 22:32:41 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.magnet_current((), {})
2026-04-18 22:32:41 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.magnet_current -> 0.0
2026-04-18 22:32:41 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.magnet_status((), {})
2026-04-18 22:32:41 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.magnet_status -> 'HOLD'
2026-04-18 22:32:41 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.get_field((), {})
2026-04-18 22:32:41 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.get_field -> 0.0
2026-04-18 22:32:41 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.magnet_current((), {})
2026-04-18 22:32:41 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.magnet_current -> 0.0
2026-04-18 22:32:41 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.magnet_status((), {})
2026-04-18 22:32:41 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.magnet_status -> 'HOLD'
2026-04-18 22:32:41 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.heater_output((), {})
2026-04-18 22:32:41 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.heater_output -> 0.0
2026-04-18 22:32:41 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.setpoint((), {})
2026-04-18 22:32:41 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.setpoint -> 300.0
2026-04-18 22:32:41 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.temperature((), {})
2026-04-18 22:32:41 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.temperature -> 300.0
2026-04-18 22:32:41 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.heater_output((), {})
2026-04-18 22:32:41 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.heater_output -> 0.0
2026-04-18 22:32:41 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.setpoint((), {})
2026-04-18 22:32:41 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.setpoint -> 300.0
2026-04-18 22:32:41 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.temperature((), {})
2026-04-18 22:32:41 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.temperature -> 300.0
2026-04-18 22:32:41 | DEBUG    | cryosoft.vi.level_meter | level_meter.get_refresh_rate((), {})
2026-04-18 22:32:41 | DEBUG    | cryosoft.vi.level_meter | level_meter.get_refresh_rate -> 0
2026-04-18 22:32:41 | DEBUG    | cryosoft.vi.level_meter | level_meter.helium_level((), {})
2026-04-18 22:32:41 | DEBUG    | cryosoft.vi.level_meter | level_meter.helium_level -> 78.83456454487647
2026-04-18 22:32:41 | DEBUG    | cryosoft.vi.level_meter | level_meter.nitrogen_level((), {})
2026-04-18 22:32:41 | DEBUG    | cryosoft.vi.level_meter | level_meter.nitrogen_level -> 90.0
2026-04-18 22:32:41 | DEBUG    | cryosoft.core.orchestrator | Monitor: magnet_x: get_field=0, magnet_current=0, magnet_status=HOLD | magnet_y: get_field=0, magnet_current=0, magnet_status=HOLD | temperature_vti: heater_output=0, setpoint=300, temperature=300 | temperature_sample: heater_output=0, setpoint=300, temperature=300 | level_meter: get_refresh_rate=0, helium_level=78.83, nitrogen_level=90
2026-04-18 22:32:41 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.get_field((), {})
2026-04-18 22:32:41 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.get_field -> 0.0
2026-04-18 22:32:41 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.magnet_current((), {})
2026-04-18 22:32:41 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.magnet_current -> 0.0
2026-04-18 22:32:41 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.magnet_status((), {})
2026-04-18 22:32:41 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.magnet_status -> 'HOLD'
2026-04-18 22:32:41 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.get_field((), {})
2026-04-18 22:32:41 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.get_field -> 0.0
2026-04-18 22:32:41 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.magnet_current((), {})
2026-04-18 22:32:41 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.magnet_current -> 0.0
2026-04-18 22:32:41 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.magnet_status((), {})
2026-04-18 22:32:41 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.magnet_status -> 'HOLD'
2026-04-18 22:32:41 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.heater_output((), {})
2026-04-18 22:32:41 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.heater_output -> 0.0
2026-04-18 22:32:41 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.setpoint((), {})
2026-04-18 22:32:41 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.setpoint -> 300.0
2026-04-18 22:32:41 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.temperature((), {})
2026-04-18 22:32:41 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.temperature -> 300.0
2026-04-18 22:32:41 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.heater_output((), {})
2026-04-18 22:32:41 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.heater_output -> 0.0
2026-04-18 22:32:41 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.setpoint((), {})
2026-04-18 22:32:41 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.setpoint -> 300.0
2026-04-18 22:32:41 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.temperature((), {})
2026-04-18 22:32:41 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.temperature -> 300.0
2026-04-18 22:32:41 | DEBUG    | cryosoft.vi.level_meter | level_meter.get_refresh_rate((), {})
2026-04-18 22:32:41 | DEBUG    | cryosoft.vi.level_meter | level_meter.get_refresh_rate -> 0
2026-04-18 22:32:41 | DEBUG    | cryosoft.vi.level_meter | level_meter.helium_level((), {})
2026-04-18 22:32:41 | DEBUG    | cryosoft.vi.level_meter | level_meter.helium_level -> 78.83456252169614
2026-04-18 22:32:41 | DEBUG    | cryosoft.vi.level_meter | level_meter.nitrogen_level((), {})
2026-04-18 22:32:41 | DEBUG    | cryosoft.vi.level_meter | level_meter.nitrogen_level -> 90.0
2026-04-18 22:32:44 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.get_field((), {})
2026-04-18 22:32:44 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.get_field -> 0.0
2026-04-18 22:32:44 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.magnet_current((), {})
2026-04-18 22:32:44 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.magnet_current -> 0.0
2026-04-18 22:32:44 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.magnet_status((), {})
2026-04-18 22:32:44 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.magnet_status -> 'HOLD'
2026-04-18 22:32:44 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.get_field((), {})
2026-04-18 22:32:44 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.get_field -> 0.0
2026-04-18 22:32:44 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.magnet_current((), {})
2026-04-18 22:32:44 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.magnet_current -> 0.0
2026-04-18 22:32:44 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.magnet_status((), {})
2026-04-18 22:32:44 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.magnet_status -> 'HOLD'
2026-04-18 22:32:44 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.heater_output((), {})
2026-04-18 22:32:44 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.heater_output -> 0.0
2026-04-18 22:32:44 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.setpoint((), {})
2026-04-18 22:32:44 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.setpoint -> 300.0
2026-04-18 22:32:44 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.temperature((), {})
2026-04-18 22:32:44 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.temperature -> 300.0
2026-04-18 22:32:44 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.heater_output((), {})
2026-04-18 22:32:44 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.heater_output -> 0.0
2026-04-18 22:32:44 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.setpoint((), {})
2026-04-18 22:32:44 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.setpoint -> 300.0
2026-04-18 22:32:44 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.temperature((), {})
2026-04-18 22:32:44 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.temperature -> 300.0
2026-04-18 22:32:44 | DEBUG    | cryosoft.vi.level_meter | level_meter.get_refresh_rate((), {})
2026-04-18 22:32:44 | DEBUG    | cryosoft.vi.level_meter | level_meter.get_refresh_rate -> 0
2026-04-18 22:32:44 | DEBUG    | cryosoft.vi.level_meter | level_meter.helium_level((), {})
2026-04-18 22:32:44 | DEBUG    | cryosoft.vi.level_meter | level_meter.helium_level -> 78.83406181065247
2026-04-18 22:32:44 | DEBUG    | cryosoft.vi.level_meter | level_meter.nitrogen_level((), {})
2026-04-18 22:32:44 | DEBUG    | cryosoft.vi.level_meter | level_meter.nitrogen_level -> 90.0
2026-04-18 22:32:44 | DEBUG    | cryosoft.core.orchestrator | Monitor: magnet_x: get_field=0, magnet_current=0, magnet_status=HOLD | magnet_y: get_field=0, magnet_current=0, magnet_status=HOLD | temperature_vti: heater_output=0, setpoint=300, temperature=300 | temperature_sample: heater_output=0, setpoint=300, temperature=300 | level_meter: get_refresh_rate=0, helium_level=78.83, nitrogen_level=90
2026-04-18 22:32:44 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.get_field((), {})
2026-04-18 22:32:44 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.get_field -> 0.0
2026-04-18 22:32:44 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.magnet_current((), {})
2026-04-18 22:32:44 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.magnet_current -> 0.0
2026-04-18 22:32:44 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.magnet_status((), {})
2026-04-18 22:32:44 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.magnet_status -> 'HOLD'
2026-04-18 22:32:44 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.get_field((), {})
2026-04-18 22:32:44 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.get_field -> 0.0
2026-04-18 22:32:44 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.magnet_current((), {})
2026-04-18 22:32:44 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.magnet_current -> 0.0
2026-04-18 22:32:44 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.magnet_status((), {})
2026-04-18 22:32:44 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.magnet_status -> 'HOLD'
2026-04-18 22:32:44 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.heater_output((), {})
2026-04-18 22:32:44 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.heater_output -> 0.0
2026-04-18 22:32:44 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.setpoint((), {})
2026-04-18 22:32:44 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.setpoint -> 300.0
2026-04-18 22:32:44 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.temperature((), {})
2026-04-18 22:32:44 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.temperature -> 300.0
2026-04-18 22:32:44 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.heater_output((), {})
2026-04-18 22:32:44 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.heater_output -> 0.0
2026-04-18 22:32:44 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.setpoint((), {})
2026-04-18 22:32:44 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.setpoint -> 300.0
2026-04-18 22:32:44 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.temperature((), {})
2026-04-18 22:32:44 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.temperature -> 300.0
2026-04-18 22:32:44 | DEBUG    | cryosoft.vi.level_meter | level_meter.get_refresh_rate((), {})
2026-04-18 22:32:44 | DEBUG    | cryosoft.vi.level_meter | level_meter.get_refresh_rate -> 0
2026-04-18 22:32:44 | DEBUG    | cryosoft.vi.level_meter | level_meter.helium_level((), {})
2026-04-18 22:32:44 | DEBUG    | cryosoft.vi.level_meter | level_meter.helium_level -> 78.83405855794753
2026-04-18 22:32:44 | DEBUG    | cryosoft.vi.level_meter | level_meter.nitrogen_level((), {})
2026-04-18 22:32:44 | DEBUG    | cryosoft.vi.level_meter | level_meter.nitrogen_level -> 90.0
2026-04-18 22:32:47 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.get_field((), {})
2026-04-18 22:32:47 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.get_field -> 0.0
2026-04-18 22:32:47 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.magnet_current((), {})
2026-04-18 22:32:47 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.magnet_current -> 0.0
2026-04-18 22:32:47 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.magnet_status((), {})
2026-04-18 22:32:47 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.magnet_status -> 'HOLD'
2026-04-18 22:32:47 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.get_field((), {})
2026-04-18 22:32:47 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.get_field -> 0.0
2026-04-18 22:32:47 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.magnet_current((), {})
2026-04-18 22:32:47 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.magnet_current -> 0.0
